label,text
spam,Your inheritance from distant relative is waiting! Contact our attorney to process the transfer!
ham,Your expense report for the business trip has been verified and payment will be processed next week.
spam,Limited time: Premium Netflix account for just $1/year. Share with 6 family members. Get now!
spam,"Congratulations on your business inquiry! We want to offer you $50,000 business funding today!"
spam,You are selected as a beta tester! Get paid $500 per hour to test apps from home. Apply now!
ham,The procurement team needs the technical specifications document before they can raise the purchase order.
ham,Looking forward to seeing you at the annual tech conference scheduled for next month in Delhi.
spam,Your annual car inspection is overdue! Renew online now to avoid heavy fines and penalties!
spam,"You are pre-approved for a $50,000 loan! Apply now, instant approval guaranteed within minutes!"
ham,The team lunch outing is confirmed for Friday at 12:30 PM at the rooftop restaurant downtown.
spam,WINNER! You have been specially chosen for our exclusive customer loyalty reward program!
ham,The client has escalated an issue with the latest release. Please prioritize the fix immediately.
spam,You qualify for student loan forgiveness! Apply immediately before program ends this week!
ham,Your project has been assigned a new technical lead effective from the beginning of next quarter.
ham,The parking slot allocation for new employees will be announced by facilities team this Friday.
ham,The legal team has reviewed the partnership agreement and shared their comments for incorporation.
ham,The data backup verification process has been completed and all critical data is properly secured.
spam,Your package could not be delivered. Click link to reschedule and provide delivery information.
ham,Just wanted to follow up on our conversation from last week about the new project timeline.
ham,Reminder to update your passwords as per the new company security policy effective from Monday.
ham,The monthly all-hands call recording has been uploaded to the company portal for those who missed it.
spam,URGENT: Your bank account has been suspended. Verify immediately at our website to avoid closure.
ham,Thanks for staying late yesterday to help complete the urgent client deliverable before the deadline.
ham,Congratulations on your promotion to Senior Software Engineer! Your dedication has been recognized!
spam,FREE electricity for life with our revolutionary solar technology! Limited installations available!
spam,Turn your spare time into money! Our simple system pays $50 per hour. No experience required!
ham,Quick reminder that the company anniversary celebration is happening this evening at the main lobby.
ham,Your reimbursement claim has been processed and amount will be credited to your account by Friday.
spam,Discount prescription medicines delivered to your door! Save 90% versus local pharmacy prices!
spam,BUY NOW! Cheap Viagra online. No prescription needed. Discreet delivery guaranteed worldwide!
ham,Please review the performance metrics dashboard and share your analysis with the business team.
spam,You have a secret admirer! Find out who likes you on Facebook! Click here to discover now!
ham,The weekly status report needs to be submitted to management by Thursday evening at 5 PM.
spam,Free iPhone giveaway! Apple is giving away 1000 iPhones to celebrate anniversary. Claim yours!
ham,Your visitor access badge for the client site has been arranged and will be ready by tomorrow morning.
ham,The annual company picnic is scheduled for the last Saturday of this month at City Park.
ham,The client has approved the project proposal and we can start the development phase from next Monday.
spam,Free background check on anyone! Find out the truth about people around you. Search for free!
spam,Act immediately! IRS has filed lawsuit against you for tax fraud. Call our helpline to settle!
spam,Free satellite TV for life! No monthly bills ever again. Limited offer for your area only. Call!
ham,Please remember to log your daily stand-up updates in the project management board before noon.
ham,Please make sure to complete the mandatory cybersecurity awareness training module before Friday.
ham,Your work anniversary is coming up next week. The team has a small celebration planned for you!
